annee,topic,mot,poids
2021.0,0,climate,0.003664616
2021.0,0,environment,0.0026176525
2021.0,0,sustainable,0.002175345
2021.0,0,justice,0.0018617386
2021.0,0,asbestos,0.0016417906
2021.0,0,environmental,0.0014678792
2021.0,0,china,0.0014589055
2021.0,0,young,0.0014430203
2021.0,0,energy,0.0014403888
2021.0,0,people,0.0013286191
2021.0,1,climate,0.03637806
2021.0,1,energy,0.016930452
2021.0,1,sustainable,0.00936662
2021.0,1,change,0.009038772
2021.0,1,need,0.0072974367
2021.0,1,environment,0.0063721295
2021.0,1,emissions,0.0058166967
2021.0,1,environmental,0.0057116146
2021.0,1,europe,0.0055033094
2021.0,1,green,0.0049279067
2021.0,2,climate,0.026991505
2021.0,2,energy,0.021932743
2021.0,2,sustainable,0.00854957
2021.0,2,change,0.008486468
2021.0,2,environment,0.008223856
2021.0,2,environmental,0.008098605
2021.0,2,emissions,0.005797731
2021.0,2,president,0.005598875
2021.0,2,europe,0.005594506
2021.0,2,need,0.0054810513
2021.0,3,climate,0.021714866
2021.0,3,energy,0.016396627
2021.0,3,sustainable,0.011763186
2021.0,3,change,0.009211009
2021.0,3,environment,0.008433757
2021.0,3,environmental,0.0077548693
2021.0,3,social,0.0068508354
2021.0,3,need,0.005602758
2021.0,3,transition,0.005197341
2021.0,3,europe,0.0047872737
2021.0,4,climate,0.001810012
2021.0,4,energy,0.0014023865
2021.0,4,sustainable,0.001178066
2021.0,4,change,0.0009043866
2021.0,4,environment,0.000724564
2021.0,4,president,0.00067073177
2021.0,4,environmental,0.00061396364
2021.0,4,europe,0.00059420965
2021.0,4,emissions,0.00054561684
2021.0,4,social,0.0005380575
2021.0,5,energy,0.0047303233
2021.0,5,climate,0.0043501467
2021.0,5,sustainable,0.0032979154
2021.0,5,environment,0.0032768277
2021.0,5,social,0.0029472674
2021.0,5,resources,0.0025997725
2021.0,5,gentlemen,0.0024378616
2021.0,5,ladies,0.0024007538
2021.0,5,environmental,0.0021351187
2021.0,5,support,0.0020027824
