annee,topic,mot,poids
2024.0,0,energy,0.021534145
2024.0,0,climate,0.018478775
2024.0,0,environmental,0.009855281
2024.0,0,sustainable,0.0071072713
2024.0,0,environment,0.0065965042
2024.0,0,food,0.005061876
2024.0,0,social,0.0048405407
2024.0,0,change,0.004830704
2024.0,0,geothermal,0.0045988457
2024.0,0,sustainability,0.0045897635
2024.0,1,climate,0.01939961
2024.0,1,energy,0.010704273
2024.0,1,environment,0.008771997
2024.0,1,environmental,0.008556603
2024.0,1,sustainable,0.008057419
2024.0,1,water,0.007853248
2024.0,1,pollution,0.0074392795
2024.0,1,social,0.006468611
2024.0,1,transition,0.005927515
2024.0,1,change,0.0058419644
2024.0,2,climate,0.0213273
2024.0,2,energy,0.01821927
2024.0,2,environment,0.0119025055
2024.0,2,sustainable,0.0076320055
2024.0,2,need,0.0073700007
2024.0,2,environmental,0.006888143
2024.0,2,change,0.005257075
2024.0,2,geothermal,0.005107823
2024.0,2,emissions,0.005014706
2024.0,2,farmers,0.0046242108
2024.0,3,farmers,0.010509203
2024.0,3,climate,0.008239492
2024.0,3,food,0.0076265917
2024.0,3,sustainable,0.0067944783
2024.0,3,future,0.0058437306
2024.0,3,change,0.00500796
2024.0,3,sector,0.004894563
2024.0,3,ensure,0.00470033
2024.0,3,energy,0.004172041
2024.0,3,environment,0.0041628005
2024.0,4,energy,0.0171717
2024.0,4,climate,0.014524487
2024.0,4,environmental,0.00915403
2024.0,4,sustainable,0.008607904
2024.0,4,environment,0.007517959
2024.0,4,president,0.0055116294
2024.0,4,policy,0.004900104
2024.0,4,ensure,0.004748311
2024.0,4,emissions,0.0047147223
2024.0,4,transition,0.0046940716
2024.0,5,climate,0.011227774
2024.0,5,energy,0.009917041
2024.0,5,emissions,0.004489363
2024.0,5,reductions,0.0044681234
2024.0,5,nature,0.004440755
2024.0,5,target,0.0033905958
2024.0,5,mining,0.0033783645
2024.0,5,deep,0.0033595434
2024.0,5,sustainable,0.002495978
2024.0,5,president,0.0024004034
