annee,topic,mot,poids
2014.0,0,energy,0.017091786
2014.0,0,environment,0.011007201
2014.0,0,environmental,0.010066931
2014.0,0,climate,0.009379836
2014.0,0,sustainable,0.008996739
2014.0,0,emissions,0.006685682
2014.0,0,report,0.0059166527
2014.0,0,economic,0.0057275384
2014.0,0,development,0.005558318
2014.0,0,social,0.005068449
2014.0,1,energy,0.0032571028
2014.0,1,environment,0.001979938
2014.0,1,climate,0.001923035
2014.0,1,sustainable,0.0018558692
2014.0,1,environmental,0.0017109318
2014.0,1,report,0.0016157256
2014.0,1,development,0.0013634568
2014.0,1,emissions,0.0013247179
2014.0,1,economic,0.001016185
2014.0,1,policy,0.00093260896
2014.0,2,energy,0.028665608
2014.0,2,climate,0.016879251
2014.0,2,environment,0.011214121
2014.0,2,sustainable,0.009830514
2014.0,2,emissions,0.0083389785
2014.0,2,environmental,0.0076301484
2014.0,2,policy,0.0066329534
2014.0,2,europe,0.0062169274
2014.0,2,change,0.0062156925
2014.0,2,need,0.0050956924
2014.0,3,energy,0.019402113
2014.0,3,environment,0.010486631
2014.0,3,report,0.0065909075
2014.0,3,states,0.0050542946
2014.0,3,climate,0.004409421
2014.0,3,sustainable,0.0043858285
2014.0,3,countries,0.0039680754
2014.0,3,people,0.003888597
2014.0,3,member,0.0038789087
2014.0,3,russia,0.0038209127
2014.0,4,energy,0.01739727
2014.0,4,environment,0.013112223
2014.0,4,sustainable,0.011869369
2014.0,4,development,0.009101925
2014.0,4,environmental,0.008539714
2014.0,4,climate,0.008014065
2014.0,4,economic,0.00723611
2014.0,4,emissions,0.0061332895
2014.0,4,change,0.00570068
2014.0,4,protection,0.005580105
2014.0,5,environment,0.0145198265
2014.0,5,energy,0.010905796
2014.0,5,report,0.009827002
2014.0,5,sustainable,0.008615093
2014.0,5,environmental,0.0074721756
2014.0,5,climate,0.006239638
2014.0,5,food,0.006130274
2014.0,5,secure,0.005971693
2014.0,5,clean,0.0057858326
2014.0,5,flights,0.005454558
