annee,topic,mot,poids
2011.0,0,energy,0.007937608
2011.0,0,climate,0.005846759
2011.0,0,environmental,0.0046675634
2011.0,0,waste,0.0036594244
2011.0,0,environment,0.0035771106
2011.0,0,change,0.003313216
2011.0,0,sustainable,0.003306139
2011.0,0,money,0.0031595288
2011.0,0,global,0.0030454502
2011.0,0,president,0.00304201
2011.0,1,energy,0.0042558755
2011.0,1,sustainable,0.0030058096
2011.0,1,environmental,0.0028108857
2011.0,1,development,0.0020681252
2011.0,1,economic,0.002066213
2011.0,1,environment,0.0020180845
2011.0,1,climate,0.001788872
2011.0,1,europe,0.0014667249
2011.0,1,report,0.0014437442
2011.0,1,change,0.0014016853
2011.0,2,energy,0.003290682
2011.0,2,environment,0.0016565027
2011.0,2,environmental,0.0013142041
2011.0,2,sustainable,0.0012959192
2011.0,2,development,0.001175999
2011.0,2,policy,0.0010973763
2011.0,2,climate,0.0010832003
2011.0,2,change,0.0007754597
2011.0,2,waste,0.0007371529
2011.0,2,nuclear,0.0007054231
2011.0,3,energy,0.018592572
2011.0,3,sustainable,0.012011674
2011.0,3,environmental,0.009693714
2011.0,3,environment,0.0087419115
2011.0,3,development,0.0087359175
2011.0,3,economic,0.007779554
2011.0,3,climate,0.00617578
2011.0,3,policy,0.005892808
2011.0,3,waste,0.005528601
2011.0,3,social,0.0055252593
2011.0,4,energy,0.027666988
2011.0,4,sustainable,0.011842474
2011.0,4,environment,0.01013226
2011.0,4,environmental,0.009607238
2011.0,4,climate,0.009414537
2011.0,4,development,0.007149037
2011.0,4,policy,0.00663945
2011.0,4,waste,0.0065467786
2011.0,4,europe,0.005896817
2011.0,4,economic,0.0056731496
2011.0,5,energy,0.0034925193
2011.0,5,sustainable,0.0016290342
2011.0,5,environmental,0.0014896306
2011.0,5,environment,0.0011336245
2011.0,5,climate,0.0011283066
2011.0,5,waste,0.0011219584
2011.0,5,development,0.0010115692
2011.0,5,europe,0.00089225796
2011.0,5,change,0.0008068344
2011.0,5,social,0.0007955796
