annee,topic,mot,poids
2007.0,0,energy,0.036367647
2007.0,0,climate,0.016658591
2007.0,0,environment,0.01135376
2007.0,0,policy,0.011236605
2007.0,0,environmental,0.00999946
2007.0,0,change,0.009944516
2007.0,0,waste,0.0070994073
2007.0,0,emissions,0.0062183943
2007.0,0,protection,0.0057748905
2007.0,0,sustainable,0.005755327
2007.0,1,energy,0.0026991756
2007.0,1,environmental,0.0025348144
2007.0,1,environment,0.0025322922
2007.0,1,climate,0.0024818217
2007.0,1,change,0.0021797656
2007.0,1,maritime,0.0018392819
2007.0,1,protection,0.0014837467
2007.0,1,development,0.0014188284
2007.0,1,policy,0.0014044543
2007.0,1,sustainable,0.001395664
2007.0,2,malta,0.0047974116
2007.0,2,energy,0.004166621
2007.0,2,environmental,0.0022644151
2007.0,2,immigration,0.0016524133
2007.0,2,environment,0.0016312168
2007.0,2,mandate,0.0012311613
2007.0,2,climate,0.0012237226
2007.0,2,sustainable,0.0010931569
2007.0,2,development,0.0010644224
2007.0,2,change,0.0010417599
2007.0,3,energy,0.028550817
2007.0,3,climate,0.011436747
2007.0,3,environment,0.010304346
2007.0,3,change,0.009361293
2007.0,3,emissions,0.008378325
2007.0,3,environmental,0.008296051
2007.0,3,sustainable,0.005975614
2007.0,3,policy,0.005446458
2007.0,3,development,0.005302255
2007.0,3,waste,0.005120449
2007.0,4,energy,0.022458682
2007.0,4,environment,0.013821511
2007.0,4,environmental,0.011366941
2007.0,4,climate,0.011132484
2007.0,4,change,0.008261515
2007.0,4,policy,0.007636933
2007.0,4,sustainable,0.006765358
2007.0,4,development,0.0054978286
2007.0,4,waste,0.0053975466
2007.0,4,protection,0.004976422
2007.0,5,energy,0.010452241
2007.0,5,black,0.006102101
2007.0,5,development,0.005646227
2007.0,5,transport,0.0038574315
2007.0,5,common,0.0037379556
2007.0,5,member,0.0037320403
2007.0,5,states,0.0036323087
2007.0,5,policy,0.0034001782
2007.0,5,pollution,0.0033598
2007.0,5,romania,0.0031117618
