annee,topic,mot,poids
2005.0,0,energy,0.020811532
2005.0,0,environment,0.015310059
2005.0,0,environmental,0.009398453
2005.0,0,waste,0.008637345
2005.0,0,protection,0.008033143
2005.0,0,development,0.0076278863
2005.0,0,sustainable,0.0063577653
2005.0,0,directive,0.0058393995
2005.0,0,cultural,0.005313478
2005.0,0,social,0.005214312
2005.0,1,sustainable,0.0043338686
2005.0,1,pollution,0.003994742
2005.0,1,fisheries,0.0034219204
2005.0,1,sector,0.002909759
2005.0,1,environmental,0.00282272
2005.0,1,environment,0.0026076653
2005.0,1,believe,0.0024522585
2005.0,1,energy,0.0023906645
2005.0,1,efficient,0.0022844698
2005.0,1,fleet,0.002239146
2005.0,2,energy,0.0018372688
2005.0,2,environmental,0.0015654794
2005.0,2,environment,0.0014674464
2005.0,2,sustainable,0.0008928962
2005.0,2,protection,0.0008212685
2005.0,2,waste,0.0006516283
2005.0,2,social,0.00064888457
2005.0,2,development,0.00064529607
2005.0,2,policy,0.0006270823
2005.0,2,climate,0.00062396104
2005.0,3,environment,0.012864655
2005.0,3,environmental,0.0062887953
2005.0,3,health,0.005430004
2005.0,3,energy,0.0050248867
2005.0,3,nuclear,0.0042109904
2005.0,3,sustainable,0.003931153
2005.0,3,climate,0.0037022203
2005.0,3,social,0.003560582
2005.0,3,development,0.0034679803
2005.0,3,member,0.003291336
2005.0,4,energy,0.019921368
2005.0,4,environment,0.01731993
2005.0,4,environmental,0.014920257
2005.0,4,climate,0.009373132
2005.0,4,sustainable,0.00819533
2005.0,4,development,0.008172243
2005.0,4,change,0.006090947
2005.0,4,policy,0.0060853246
2005.0,4,social,0.0057936395
2005.0,4,waste,0.0052803215
2005.0,5,energy,0.019217124
2005.0,5,environment,0.013413114
2005.0,5,environmental,0.0112062795
2005.0,5,development,0.0067355824
2005.0,5,climate,0.006000292
2005.0,5,sustainable,0.005758247
2005.0,5,directive,0.005305861
2005.0,5,waste,0.0050727935
2005.0,5,public,0.00501943
2005.0,5,social,0.0049435673
