annee,topic,mot,poids
2022.0,0,energy,0.022793299
2022.0,0,climate,0.011195
2022.0,0,change,0.0050195935
2022.0,0,need,0.0049469895
2022.0,0,prices,0.0046569747
2022.0,0,support,0.0046052774
2022.0,0,social,0.004596756
2022.0,0,sustainable,0.0045458316
2022.0,0,president,0.004500452
2022.0,0,transition,0.0044814027
2022.0,1,energy,0.0029301145
2022.0,1,climate,0.0016916
2022.0,1,europe,0.00082078227
2022.0,1,sustainable,0.0008035874
2022.0,1,crisis,0.00077220716
2022.0,1,president,0.0007474264
2022.0,1,prices,0.0007152334
2022.0,1,need,0.0006236193
2022.0,1,environment,0.0006048348
2022.0,1,change,0.0006038745
2022.0,2,energy,0.0028853347
2022.0,2,climate,0.0014834617
2022.0,2,sustainable,0.0007847232
2022.0,2,need,0.000767505
2022.0,2,president,0.00073461805
2022.0,2,change,0.00067151425
2022.0,2,crisis,0.00063159125
2022.0,2,europe,0.0005869189
2022.0,2,environment,0.0005807752
2022.0,2,renewable,0.00050738105
2022.0,3,energy,0.043825228
2022.0,3,climate,0.017477456
2022.0,3,sustainable,0.0075742607
2022.0,3,need,0.007208476
2022.0,3,crisis,0.006839853
2022.0,3,prices,0.0061391396
2022.0,3,change,0.0061250203
2022.0,3,europe,0.0061219833
2022.0,3,environment,0.0061095646
2022.0,3,president,0.0054421593
2022.0,4,energy,0.03447267
2022.0,4,climate,0.017384442
2022.0,4,prices,0.008202138
2022.0,4,sustainable,0.007707504
2022.0,4,social,0.0069728233
2022.0,4,change,0.0059771035
2022.0,4,europe,0.005678157
2022.0,4,crisis,0.0054888693
2022.0,4,environment,0.005459511
2022.0,4,environmental,0.0053304555
2022.0,5,energy,0.040635515
2022.0,5,climate,0.018904617
2022.0,5,sustainable,0.009034786
2022.0,5,need,0.007082293
2022.0,5,renewable,0.0058217747
2022.0,5,environment,0.0057286057
2022.0,5,change,0.0056477482
2022.0,5,crisis,0.005633547
2022.0,5,president,0.0051885447
2022.0,5,europe,0.005128367
