annee,type,topic,valeur
2022.0,mot_cle_eco,global,377.0
2022.0,mot_cle_eco,warming,107.0
2022.0,mot_cle_eco,biodiversity,466.0
2022.0,mot_cle_eco,ecosystem,121.0
2022.0,mot_cle_eco,pollution,132.0
2022.0,mot_cle_eco,sustainable,1381.0
2022.0,mot_cle_eco,sustainability,411.0
2022.0,mot_cle_eco,renewable,783.0
2022.0,mot_cle_eco,energy,7195.0
2022.0,mot_cle_eco,carbon,413.0
2022.0,mot_cle_eco,greenhouse,94.0
2022.0,mot_cle_eco,emissions,563.0
2022.0,mot_cle_eco,ecological,208.0
2022.0,mot_cle_eco,atmospheric,0.0
2022.0,mot_cle_eco,ozone,2.0
2022.0,mot_cle_eco,waste,362.0
2023.0,topic_weight,0,11.418200492858887
2023.0,topic_weight,1,5.958643913269043
2023.0,topic_weight,2,0.0
2023.0,topic_weight,3,3.522308826446533
2023.0,topic_weight,4,0.0
2023.0,topic_weight,5,6.01511812210083
2023.0,nb_topics_actifs,,4.0
2023.0,mot_cle_eco,environment,711.0
2023.0,mot_cle_eco,environmental,570.0
2023.0,mot_cle_eco,climate,1906.0
2023.0,mot_cle_eco,global,306.0
2023.0,mot_cle_eco,warming,63.0
2023.0,mot_cle_eco,biodiversity,162.0
2023.0,mot_cle_eco,ecosystem,45.0
2023.0,mot_cle_eco,pollution,193.0
