annee,topic,mot,poids
2003.0,0,environment,0.018811835
2003.0,0,environmental,0.012418828
2003.0,0,development,0.008215216
2003.0,0,protection,0.007737655
2003.0,0,energy,0.0076403865
2003.0,0,transport,0.0053521814
2003.0,0,damage,0.005311714
2003.0,0,health,0.005294125
2003.0,0,directive,0.0050922986
2003.0,0,sustainable,0.004993603
2003.0,1,energy,0.019020405
2003.0,1,environmental,0.015765028
2003.0,1,environment,0.011255743
2003.0,1,emissions,0.008145708
2003.0,1,directive,0.006438041
2003.0,1,important,0.0059360657
2003.0,1,sustainable,0.00560077
2003.0,1,waste,0.005204155
2003.0,1,transport,0.004427803
2003.0,1,cooperation,0.004343559
2003.0,2,environment,0.0165986
2003.0,2,energy,0.014895129
2003.0,2,environmental,0.014632993
2003.0,2,sustainable,0.008730097
2003.0,2,development,0.0073529663
2003.0,2,policy,0.006032901
2003.0,2,protection,0.0057379846
2003.0,2,committee,0.0056250193
2003.0,2,directive,0.005383217
2003.0,2,emissions,0.0050878576
2003.0,3,environment,0.012182213
2003.0,3,environmental,0.011491146
2003.0,3,protection,0.006765233
2003.0,3,proposal,0.005843176
2003.0,3,directive,0.0056896633
2003.0,3,report,0.004643661
2003.0,3,council,0.0046368414
2003.0,3,committee,0.0046011372
2003.0,3,president,0.004180656
2003.0,3,waste,0.0041426844
2003.0,4,environment,0.002956934
2003.0,4,energy,0.0020471038
2003.0,4,environmental,0.0016381885
2003.0,4,sustainable,0.0010576309
2003.0,4,policy,0.0009988276
2003.0,4,directive,0.0009271723
2003.0,4,development,0.0008443026
2003.0,4,protection,0.0008092222
2003.0,4,proposal,0.000713914
2003.0,4,social,0.0007035499
2003.0,5,environment,0.017650198
2003.0,5,environmental,0.015126296
2003.0,5,energy,0.013735088
2003.0,5,sustainable,0.0087891705
2003.0,5,development,0.008235383
2003.0,5,policy,0.0067993156
2003.0,5,directive,0.0059409244
2003.0,5,social,0.0057675075
2003.0,5,committee,0.005619562
2003.0,5,protection,0.005384723
