annee,topic,mot,poids
2009.0,0,energy,0.032627255
2009.0,0,climate,0.02030742
2009.0,0,change,0.01227939
2009.0,0,environment,0.008192099
2009.0,0,environmental,0.006822241
2009.0,0,policy,0.0065416996
2009.0,0,emissions,0.0063604894
2009.0,0,sustainable,0.0062368535
2009.0,0,security,0.0055835736
2009.0,0,economic,0.0055590007
2009.0,1,energy,0.03603883
2009.0,1,climate,0.012757749
2009.0,1,change,0.009326643
2009.0,1,environment,0.008729586
2009.0,1,environmental,0.007749265
2009.0,1,efficiency,0.007047653
2009.0,1,sustainable,0.0069974936
2009.0,1,development,0.006158096
2009.0,1,economic,0.006102042
2009.0,1,policy,0.0058110566
2009.0,2,energy,0.0035055145
2009.0,2,climate,0.0027246126
2009.0,2,oligopolies,0.001893848
2009.0,2,change,0.0012827063
2009.0,2,hiding,0.0012771694
2009.0,2,lifting,0.0012569173
2009.0,2,environment,0.0011449697
2009.0,2,emissions,0.0010157627
2009.0,2,environmental,0.0009520314
2009.0,2,policy,0.0008135979
2009.0,3,energy,0.0030901663
2009.0,3,change,0.0011074588
2009.0,3,climate,0.00100482
2009.0,3,environmental,0.0008518238
2009.0,3,environment,0.00065891945
2009.0,3,countries,0.00063111953
2009.0,3,sustainable,0.0006241585
2009.0,3,policy,0.00061756064
2009.0,3,emissions,0.0006080109
2009.0,3,economic,0.00060000527
2009.0,4,energy,0.03976122
2009.0,4,security,0.007923122
2009.0,4,climate,0.0077754934
2009.0,4,environment,0.007670654
2009.0,4,countries,0.00727436
2009.0,4,change,0.005535023
2009.0,4,economic,0.005180692
2009.0,4,states,0.0045644385
2009.0,4,policy,0.0044815224
2009.0,4,environmental,0.0044151694
2009.0,5,energy,0.0025657383
2009.0,5,climate,0.0014848445
2009.0,5,change,0.0011224141
2009.0,5,environmental,0.000953839
2009.0,5,policy,0.00070402335
2009.0,5,environment,0.00066076004
2009.0,5,sustainable,0.0005729632
2009.0,5,emissions,0.0005716882
2009.0,5,development,0.00053065177
2009.0,5,security,0.00051154115
