annee,topic,mot,poids
2012.0,0,energy,0.024300154
2012.0,0,environment,0.0142023275
2012.0,0,sustainable,0.013336959
2012.0,0,climate,0.010662504
2012.0,0,environmental,0.008467465
2012.0,0,europe,0.006589852
2012.0,0,waste,0.006042855
2012.0,0,policy,0.006030565
2012.0,0,report,0.0054872977
2012.0,0,development,0.0051976643
2012.0,1,energy,0.031432673
2012.0,1,environmental,0.009061337
2012.0,1,climate,0.007986443
2012.0,1,environment,0.007784644
2012.0,1,sustainable,0.007422955
2012.0,1,policy,0.005772493
2012.0,1,europe,0.00577009
2012.0,1,report,0.0055546104
2012.0,1,waste,0.005155477
2012.0,1,economic,0.00507528
2012.0,2,energy,0.002373433
2012.0,2,environment,0.001186042
2012.0,2,sustainable,0.00116761
2012.0,2,environmental,0.0011211368
2012.0,2,waste,0.0011128685
2012.0,2,climate,0.0010222197
2012.0,2,development,0.0008499502
2012.0,2,economic,0.00076680706
2012.0,2,protection,0.0007530247
2012.0,2,growth,0.0007521378
2012.0,3,energy,0.026361784
2012.0,3,sustainable,0.012261314
2012.0,3,environment,0.011369512
2012.0,3,environmental,0.009687583
2012.0,3,climate,0.008747115
2012.0,3,development,0.006722722
2012.0,3,waste,0.006495092
2012.0,3,economic,0.006468237
2012.0,3,policy,0.006173648
2012.0,3,states,0.0058790133
2012.0,4,energy,0.0034944038
2012.0,4,climate,0.0017938468
2012.0,4,sustainable,0.0014865611
2012.0,4,environment,0.001368515
2012.0,4,environmental,0.0011898167
2012.0,4,development,0.0011666021
2012.0,4,waste,0.0011260159
2012.0,4,report,0.0009909531
2012.0,4,change,0.0008975253
2012.0,4,economic,0.00084289955
2012.0,5,energy,0.020365132
2012.0,5,sustainable,0.011052766
2012.0,5,environmental,0.0098052295
2012.0,5,environment,0.009596028
2012.0,5,waste,0.007278758
2012.0,5,report,0.0068938667
2012.0,5,climate,0.006564328
2012.0,5,economic,0.0063729505
2012.0,5,development,0.005923455
2012.0,5,policy,0.0050475094
