annee,topic,mot,poids
2004.0,0,environment,0.012444551
2004.0,0,environmental,0.009990165
2004.0,0,waste,0.009268585
2004.0,0,energy,0.008555537
2004.0,0,sustainable,0.0075487862
2004.0,0,committee,0.0069767195
2004.0,0,health,0.006184351
2004.0,0,policy,0.005585412
2004.0,0,development,0.0055532055
2004.0,0,public,0.0048434436
2004.0,1,environment,0.024655983
2004.0,1,environmental,0.012572013
2004.0,1,protection,0.009727341
2004.0,1,energy,0.007956976
2004.0,1,sustainable,0.0077638766
2004.0,1,waste,0.0066350596
2004.0,1,development,0.00604811
2004.0,1,directive,0.005586792
2004.0,1,health,0.005484639
2004.0,1,economic,0.005281381
2004.0,2,attract,0.0017852886
2004.0,2,edge,0.0010238433
2004.0,2,specificities,0.001023324
2004.0,2,tailor,0.0010231677
2004.0,2,definitely,0.00075394864
2004.0,2,characteristics,0.0006994339
2004.0,2,environmental,0.0006872001
2004.0,2,sustainable,0.00064472837
2004.0,2,aspect,0.0006123994
2004.0,2,environment,0.00058184116
2004.0,3,environmental,0.013052706
2004.0,3,energy,0.012175498
2004.0,3,social,0.0074849697
2004.0,3,environment,0.006633033
2004.0,3,protection,0.004884132
2004.0,3,europe,0.004710086
2004.0,3,climate,0.004247906
2004.0,3,countries,0.0038709147
2004.0,3,renewable,0.0037336694
2004.0,3,health,0.0034094986
2004.0,4,energy,0.0066818194
2004.0,4,environment,0.005227926
2004.0,4,environmental,0.002757044
2004.0,4,political,0.002064609
2004.0,4,committee,0.002026923
2004.0,4,directive,0.0019603558
2004.0,4,reforms,0.0018018577
2004.0,4,policy,0.0017734362
2004.0,4,nuclear,0.001643613
2004.0,4,committed,0.0015998359
2004.0,5,environmental,0.015619567
2004.0,5,environment,0.01526452
2004.0,5,energy,0.01322797
2004.0,5,waste,0.010007995
2004.0,5,sustainable,0.009322563
2004.0,5,development,0.006633664
2004.0,5,policy,0.006566033
2004.0,5,social,0.0061956802
2004.0,5,protection,0.0061194617
2004.0,5,health,0.0052411165
