annee,topic,mot,poids
2008.0,0,climate,0.021845004
2008.0,0,energy,0.017040523
2008.0,0,change,0.011460938
2008.0,0,emissions,0.011162657
2008.0,0,environment,0.010296443
2008.0,0,environmental,0.009465668
2008.0,0,policy,0.004993646
2008.0,0,carbon,0.0048753964
2008.0,0,need,0.0047487463
2008.0,0,sustainable,0.0045336518
2008.0,1,energy,0.025802532
2008.0,1,climate,0.016370887
2008.0,1,change,0.012352448
2008.0,1,environment,0.008746463
2008.0,1,environmental,0.007802623
2008.0,1,emissions,0.007423736
2008.0,1,report,0.006164755
2008.0,1,waste,0.0053960485
2008.0,1,europe,0.005027054
2008.0,1,sustainable,0.004967345
2008.0,2,energy,0.026167767
2008.0,2,environment,0.011523039
2008.0,2,climate,0.0114527885
2008.0,2,change,0.009588356
2008.0,2,emissions,0.007721349
2008.0,2,environmental,0.006687715
2008.0,2,policy,0.0049896585
2008.0,2,member,0.004823495
2008.0,2,sustainable,0.0047916644
2008.0,2,states,0.004743927
2008.0,3,energy,0.029882219
2008.0,3,climate,0.01439953
2008.0,3,change,0.010540989
2008.0,3,environmental,0.0104063675
2008.0,3,environment,0.01039167
2008.0,3,policy,0.006122469
2008.0,3,development,0.0056070443
2008.0,3,sustainable,0.005538688
2008.0,3,emissions,0.0053902604
2008.0,3,protection,0.0048348354
2008.0,4,energy,0.0014803093
2008.0,4,climate,0.0011366063
2008.0,4,environment,0.00089946756
2008.0,4,change,0.00083135784
2008.0,4,environmental,0.00072472065
2008.0,4,policy,0.0005182326
2008.0,4,sustainable,0.00051676296
2008.0,4,countries,0.00048146298
2008.0,4,emissions,0.00047770294
2008.0,4,report,0.00046467842
2008.0,5,climate,0.025097651
2008.0,5,energy,0.025024684
2008.0,5,environment,0.012849547
2008.0,5,change,0.012172003
2008.0,5,emissions,0.011067569
2008.0,5,environmental,0.009028879
2008.0,5,policy,0.007608542
2008.0,5,sustainable,0.006057882
2008.0,5,package,0.005509039
2008.0,5,important,0.0045372043
