annee,topic,mot,poids
2013.0,0,energy,0.017618222
2013.0,0,environment,0.014390201
2013.0,0,environmental,0.013989048
2013.0,0,sustainable,0.009492545
2013.0,0,protection,0.0076435655
2013.0,0,climate,0.0075578163
2013.0,0,policy,0.0059290826
2013.0,0,report,0.005520369
2013.0,0,development,0.0052705905
2013.0,0,emissions,0.005262857
2013.0,1,energy,0.025809681
2013.0,1,climate,0.0144220395
2013.0,1,environment,0.013439203
2013.0,1,sustainable,0.009864187
2013.0,1,environmental,0.007928774
2013.0,1,policy,0.0072956523
2013.0,1,emissions,0.007107037
2013.0,1,market,0.0062850458
2013.0,1,europe,0.005930756
2013.0,1,change,0.0055690175
2013.0,2,energy,0.0048124725
2013.0,2,environmental,0.0029267014
2013.0,2,sustainable,0.0025741677
2013.0,2,environment,0.0024623552
2013.0,2,development,0.0016713216
2013.0,2,climate,0.0016123145
2013.0,2,economic,0.0014387156
2013.0,2,policy,0.0013657989
2013.0,2,emissions,0.0013211928
2013.0,2,social,0.0012613949
2013.0,3,energy,0.022845577
2013.0,3,sustainable,0.012806804
2013.0,3,environmental,0.010919198
2013.0,3,environment,0.010881891
2013.0,3,climate,0.0071463916
2013.0,3,policy,0.006749256
2013.0,3,development,0.0067295055
2013.0,3,report,0.006295434
2013.0,3,economic,0.006261431
2013.0,3,social,0.005180279
2013.0,4,energy,0.029585507
2013.0,4,sustainable,0.009444174
2013.0,4,environment,0.007351241
2013.0,4,report,0.0065681417
2013.0,4,environmental,0.006227683
2013.0,4,development,0.0061743245
2013.0,4,member,0.0055299546
2013.0,4,states,0.0054248166
2013.0,4,renewable,0.0053700255
2013.0,4,market,0.0049083084
2013.0,5,energy,0.0031419175
2013.0,5,environmental,0.002317787
2013.0,5,sustainable,0.0021527102
2013.0,5,environment,0.0019340543
2013.0,5,policy,0.0015831534
2013.0,5,climate,0.0015701975
2013.0,5,development,0.0015240331
2013.0,5,report,0.0013006516
2013.0,5,social,0.0010198537
2013.0,5,growth,0.0009983487
