annee,topic,mot,poids
2020.0,0,climate,0.016431747
2020.0,0,sustainable,0.0054119015
2020.0,0,need,0.005101366
2020.0,0,change,0.003919823
2020.0,0,environment,0.0037827364
2020.0,0,economic,0.0036528157
2020.0,0,future,0.0035769427
2020.0,0,policy,0.003373624
2020.0,0,protection,0.0029354726
2020.0,0,green,0.002643316
2020.0,1,climate,0.0015449531
2020.0,1,energy,0.000826472
2020.0,1,change,0.00068376336
2020.0,1,social,0.0006246331
2020.0,1,sustainable,0.00057418173
2020.0,1,environmental,0.00056707615
2020.0,1,green,0.0005306417
2020.0,1,need,0.00048138777
2020.0,1,deal,0.00047967487
2020.0,1,environment,0.00045934712
2020.0,2,climate,0.019469777
2020.0,2,emissions,0.008279357
2020.0,2,environment,0.007877197
2020.0,2,environmental,0.007291078
2020.0,2,energy,0.007200752
2020.0,2,sustainable,0.0060449042
2020.0,2,change,0.006028953
2020.0,2,biodiversity,0.0047004474
2020.0,2,president,0.0045474926
2020.0,2,deal,0.0036958447
2020.0,3,climate,0.011599167
2020.0,3,energy,0.005576024
2020.0,3,issues,0.0044034277
2020.0,3,environmental,0.0040373695
2020.0,3,policy,0.0038331929
2020.0,3,social,0.0037521485
2020.0,3,sustainable,0.0036745777
2020.0,3,time,0.0028435914
2020.0,3,change,0.0027870294
2020.0,3,agreement,0.002739544
2020.0,4,climate,0.028439745
2020.0,4,sustainable,0.012253856
2020.0,4,energy,0.011557551
2020.0,4,change,0.009668715
2020.0,4,environment,0.009016871
2020.0,4,environmental,0.008290409
2020.0,4,need,0.0069829663
2020.0,4,green,0.0063714073
2020.0,4,europe,0.006287548
2020.0,4,social,0.005732957
2020.0,5,climate,0.0015180586
2020.0,5,sustainable,0.0007874077
2020.0,5,change,0.00072689896
2020.0,5,need,0.00060571847
2020.0,5,environmental,0.00059030676
2020.0,5,environment,0.0005615604
2020.0,5,energy,0.00054279686
2020.0,5,social,0.0005010024
2020.0,5,europe,0.0004679411
2020.0,5,biodiversity,0.00044828086
