annee,topic,mot,poids
2016.0,0,energy,0.026273929
2016.0,0,sustainable,0.013765069
2016.0,0,environment,0.012732397
2016.0,0,development,0.009546961
2016.0,0,climate,0.006996654
2016.0,0,environmental,0.0067835147
2016.0,0,report,0.006700309
2016.0,0,protection,0.0055733267
2016.0,0,market,0.0051979665
2016.0,0,health,0.00499479
2016.0,1,energy,0.02385624
2016.0,1,sustainable,0.012014774
2016.0,1,environment,0.010813197
2016.0,1,climate,0.009816369
2016.0,1,report,0.008577913
2016.0,1,waste,0.007227998
2016.0,1,money,0.006380636
2016.0,1,environmental,0.0059501966
2016.0,1,development,0.005819471
2016.0,1,national,0.0056839744
2016.0,2,energy,0.023473086
2016.0,2,environment,0.013754824
2016.0,2,report,0.011390213
2016.0,2,sustainable,0.010236128
2016.0,2,development,0.008443668
2016.0,2,environmental,0.007817456
2016.0,2,voted,0.006249446
2016.0,2,favour,0.0059790225
2016.0,2,protection,0.005894456
2016.0,2,climate,0.005704572
2016.0,3,energy,0.0070878915
2016.0,3,sustainable,0.003829324
2016.0,3,development,0.003146321
2016.0,3,environment,0.0027952476
2016.0,3,climate,0.0021314458
2016.0,3,environmental,0.0017940851
2016.0,3,report,0.0017489057
2016.0,3,health,0.0016506475
2016.0,3,protection,0.0015785355
2016.0,3,market,0.0014562423
2016.0,4,energy,0.022783788
2016.0,4,environment,0.01033882
2016.0,4,sustainable,0.0083320085
2016.0,4,report,0.00734999
2016.0,4,development,0.0069688573
2016.0,4,climate,0.0056759557
2016.0,4,market,0.004818834
2016.0,4,emissions,0.0042538503
2016.0,4,environmental,0.004229014
2016.0,4,states,0.0039458782
2016.0,5,energy,0.026798856
2016.0,5,sustainable,0.01234657
2016.0,5,report,0.010967066
2016.0,5,environment,0.010684174
2016.0,5,development,0.008235058
2016.0,5,environmental,0.0075674066
2016.0,5,climate,0.0063168774
2016.0,5,favour,0.005370929
2016.0,5,emissions,0.0053689005
2016.0,5,voted,0.005165174
