pays,annee_max_eco,score_eco_max_annee,score_eco_total_pays
LUX,2001.0,1.0000002,26.0
DNK,2021.0,1.0000002,26.0
AUT,1999.0,1.0000001,26.0
FRA,1999.0,1.0000001,26.0
PRT,2011.0,1.0000001,26.0
ITA,2007.0,1.0000001,26.0
IRL,2024.0,1.0000001,26.0
BEL,1999.0,1.0000002,26.0
GRC,2019.0,1.0000001,26.0
SWE,1999.0,1.0000001,26.0
