pays,score_eco_total
LUX,26.000002
DNK,26.000002
AUT,26.0
FRA,26.0
PRT,26.0
ITA,26.0
IRL,26.0
BEL,26.0
GRC,26.0
SWE,26.0
FIN,26.0
ESP,26.0
DEU,26.0
NLD,25.999998
GBR,22.0
EST,21.000002
SVN,21.000002
POL,21.0
MLT,21.0
LVA,21.0
CYP,21.0
LTU,21.0
CZE,21.0
HUN,21.0
SVK,20.999998
BGR,18.0
ROU,18.0
HRV,12.0
