annee,pays,fichier,score_eco
2003.0,AUT,data/processed/EUPDCorp_TXT/2003.0/AUT.txt,0.99999994
2004.0,ITA,data/processed/EUPDCorp_TXT/2004.0/ITA.txt,0.99999994
2004.0,MLT,data/processed/EUPDCorp_TXT/2004.0/MLT.txt,1.0
2004.0,POL,data/processed/EUPDCorp_TXT/2004.0/POL.txt,1.0
2004.0,CZE,data/processed/EUPDCorp_TXT/2004.0/CZE.txt,1.0
2004.0,GBR,data/processed/EUPDCorp_TXT/2004.0/GBR.txt,1.0
2004.0,DEU,data/processed/EUPDCorp_TXT/2004.0/DEU.txt,1.0
2004.0,PRT,data/processed/EUPDCorp_TXT/2004.0/PRT.txt,1.0
2004.0,SVK,data/processed/EUPDCorp_TXT/2004.0/SVK.txt,0.9999999
2004.0,SVN,data/processed/EUPDCorp_TXT/2004.0/SVN.txt,1.0
2004.0,LTU,data/processed/EUPDCorp_TXT/2004.0/LTU.txt,0.99999994
2004.0,NLD,data/processed/EUPDCorp_TXT/2004.0/NLD.txt,0.9999998
2004.0,DNK,data/processed/EUPDCorp_TXT/2004.0/DNK.txt,1.0
2004.0,SWE,data/processed/EUPDCorp_TXT/2004.0/SWE.txt,1.0000001
2004.0,HUN,data/processed/EUPDCorp_TXT/2004.0/HUN.txt,0.99999994
2004.0,EST,data/processed/EUPDCorp_TXT/2004.0/EST.txt,0.9999999
2004.0,ESP,data/processed/EUPDCorp_TXT/2004.0/ESP.txt,0.99999994
2004.0,LUX,data/processed/EUPDCorp_TXT/2004.0/LUX.txt,0.99999994
2004.0,LVA,data/processed/EUPDCorp_TXT/2004.0/LVA.txt,1.0000001
2004.0,GRC,data/processed/EUPDCorp_TXT/2004.0/GRC.txt,1.0
2004.0,IRL,data/processed/EUPDCorp_TXT/2004.0/IRL.txt,1.0000001
2004.0,CYP,data/processed/EUPDCorp_TXT/2004.0/CYP.txt,0.9999999
2004.0,FIN,data/processed/EUPDCorp_TXT/2004.0/FIN.txt,1.0000001
2004.0,BEL,data/processed/EUPDCorp_TXT/2004.0/BEL.txt,0.99999994
2004.0,FRA,data/processed/EUPDCorp_TXT/2004.0/FRA.txt,1.0
2004.0,AUT,data/processed/EUPDCorp_TXT/2004.0/AUT.txt,1.0
2005.0,ITA,data/processed/EUPDCorp_TXT/2005.0/ITA.txt,0.9999999
2005.0,MLT,data/processed/EUPDCorp_TXT/2005.0/MLT.txt,0.9999997
2005.0,POL,data/processed/EUPDCorp_TXT/2005.0/POL.txt,1.0
2005.0,CZE,data/processed/EUPDCorp_TXT/2005.0/CZE.txt,1.0000001
2005.0,GBR,data/processed/EUPDCorp_TXT/2005.0/GBR.txt,1.0000001
2005.0,DEU,data/processed/EUPDCorp_TXT/2005.0/DEU.txt,1.0
2005.0,PRT,data/processed/EUPDCorp_TXT/2005.0/PRT.txt,1.0000001
2005.0,SVK,data/processed/EUPDCorp_TXT/2005.0/SVK.txt,0.99999994
2005.0,SVN,data/processed/EUPDCorp_TXT/2005.0/SVN.txt,1.0000001
2005.0,LTU,data/processed/EUPDCorp_TXT/2005.0/LTU.txt,1.0000001
2005.0,NLD,data/processed/EUPDCorp_TXT/2005.0/NLD.txt,0.99999994
2005.0,DNK,data/processed/EUPDCorp_TXT/2005.0/DNK.txt,0.99999994
2005.0,SWE,data/processed/EUPDCorp_TXT/2005.0/SWE.txt,1.0
2005.0,HUN,data/processed/EUPDCorp_TXT/2005.0/HUN.txt,1.0
2005.0,EST,data/processed/EUPDCorp_TXT/2005.0/EST.txt,1.0000001
2005.0,ESP,data/processed/EUPDCorp_TXT/2005.0/ESP.txt,1.0
2005.0,LUX,data/processed/EUPDCorp_TXT/2005.0/LUX.txt,0.99999994
2005.0,LVA,data/processed/EUPDCorp_TXT/2005.0/LVA.txt,1.0
2005.0,GRC,data/processed/EUPDCorp_TXT/2005.0/GRC.txt,1.0
2005.0,IRL,data/processed/EUPDCorp_TXT/2005.0/IRL.txt,0.9999999
2005.0,CYP,data/processed/EUPDCorp_TXT/2005.0/CYP.txt,1.0
2005.0,FIN,data/processed/EUPDCorp_TXT/2005.0/FIN.txt,1.0
2005.0,BEL,data/processed/EUPDCorp_TXT/2005.0/BEL.txt,1.0000001
2005.0,FRA,data/processed/EUPDCorp_TXT/2005.0/FRA.txt,1.0000001
2005.0,AUT,data/processed/EUPDCorp_TXT/2005.0/AUT.txt,0.9999999
2006.0,ITA,data/processed/EUPDCorp_TXT/2006.0/ITA.txt,0.9999999
2006.0,MLT,data/processed/EUPDCorp_TXT/2006.0/MLT.txt,1.0
2006.0,POL,data/processed/EUPDCorp_TXT/2006.0/POL.txt,1.0
2006.0,CZE,data/processed/EUPDCorp_TXT/2006.0/CZE.txt,1.0
2006.0,GBR,data/processed/EUPDCorp_TXT/2006.0/GBR.txt,1.0
2006.0,DEU,data/processed/EUPDCorp_TXT/2006.0/DEU.txt,0.99999994
2006.0,PRT,data/processed/EUPDCorp_TXT/2006.0/PRT.txt,0.99999994
2006.0,SVK,data/processed/EUPDCorp_TXT/2006.0/SVK.txt,1.0
2006.0,SVN,data/processed/EUPDCorp_TXT/2006.0/SVN.txt,1.0
2006.0,LTU,data/processed/EUPDCorp_TXT/2006.0/LTU.txt,1.0
2006.0,NLD,data/processed/EUPDCorp_TXT/2006.0/NLD.txt,0.99999994
2006.0,DNK,data/processed/EUPDCorp_TXT/2006.0/DNK.txt,1.0
2006.0,SWE,data/processed/EUPDCorp_TXT/2006.0/SWE.txt,1.0000001
2006.0,HUN,data/processed/EUPDCorp_TXT/2006.0/HUN.txt,1.0
2006.0,EST,data/processed/EUPDCorp_TXT/2006.0/EST.txt,1.0000001
2006.0,ESP,data/processed/EUPDCorp_TXT/2006.0/ESP.txt,1.0
2006.0,LUX,data/processed/EUPDCorp_TXT/2006.0/LUX.txt,1.0000001
2006.0,LVA,data/processed/EUPDCorp_TXT/2006.0/LVA.txt,1.0
2006.0,GRC,data/processed/EUPDCorp_TXT/2006.0/GRC.txt,1.0
2006.0,IRL,data/processed/EUPDCorp_TXT/2006.0/IRL.txt,0.9999998
2006.0,CYP,data/processed/EUPDCorp_TXT/2006.0/CYP.txt,1.0
2006.0,FIN,data/processed/EUPDCorp_TXT/2006.0/FIN.txt,0.9999999
2006.0,BEL,data/processed/EUPDCorp_TXT/2006.0/BEL.txt,1.0
2006.0,FRA,data/processed/EUPDCorp_TXT/2006.0/FRA.txt,1.0
2006.0,AUT,data/processed/EUPDCorp_TXT/2006.0/AUT.txt,1.0000001
2007.0,ITA,data/processed/EUPDCorp_TXT/2007.0/ITA.txt,1.0000001
2007.0,MLT,data/processed/EUPDCorp_TXT/2007.0/MLT.txt,0.99999994
2007.0,POL,data/processed/EUPDCorp_TXT/2007.0/POL.txt,1.0
2007.0,CZE,data/processed/EUPDCorp_TXT/2007.0/CZE.txt,1.0
2007.0,GBR,data/processed/EUPDCorp_TXT/2007.0/GBR.txt,0.9999999
2007.0,DEU,data/processed/EUPDCorp_TXT/2007.0/DEU.txt,1.0
2007.0,PRT,data/processed/EUPDCorp_TXT/2007.0/PRT.txt,1.0
2007.0,SVK,data/processed/EUPDCorp_TXT/2007.0/SVK.txt,1.0
2007.0,SVN,data/processed/EUPDCorp_TXT/2007.0/SVN.txt,0.99999994
2007.0,LTU,data/processed/EUPDCorp_TXT/2007.0/LTU.txt,1.0
2007.0,NLD,data/processed/EUPDCorp_TXT/2007.0/NLD.txt,1.0
2007.0,DNK,data/processed/EUPDCorp_TXT/2007.0/DNK.txt,0.99999994
2007.0,SWE,data/processed/EUPDCorp_TXT/2007.0/SWE.txt,1.0
2007.0,HUN,data/processed/EUPDCorp_TXT/2007.0/HUN.txt,0.99999994
2007.0,EST,data/processed/EUPDCorp_TXT/2007.0/EST.txt,1.0
2007.0,ESP,data/processed/EUPDCorp_TXT/2007.0/ESP.txt,1.0000001
2007.0,LUX,data/processed/EUPDCorp_TXT/2007.0/LUX.txt,0.9999998
2007.0,LVA,data/processed/EUPDCorp_TXT/2007.0/LVA.txt,1.0
2007.0,GRC,data/processed/EUPDCorp_TXT/2007.0/GRC.txt,1.0000001
2007.0,IRL,data/processed/EUPDCorp_TXT/2007.0/IRL.txt,1.0
2007.0,CYP,data/processed/EUPDCorp_TXT/2007.0/CYP.txt,0.99999994
2007.0,FIN,data/processed/EUPDCorp_TXT/2007.0/FIN.txt,0.99999994
2007.0,ROU,data/processed/EUPDCorp_TXT/2007.0/ROU.txt,1.0
2007.0,BEL,data/processed/EUPDCorp_TXT/2007.0/BEL.txt,0.99999994
2007.0,FRA,data/processed/EUPDCorp_TXT/2007.0/FRA.txt,0.99999994
2007.0,AUT,data/processed/EUPDCorp_TXT/2007.0/AUT.txt,0.99999994
2007.0,BGR,data/processed/EUPDCorp_TXT/2007.0/BGR.txt,0.9999999
2008.0,ITA,data/processed/EUPDCorp_TXT/2008.0/ITA.txt,1.0
2008.0,MLT,data/processed/EUPDCorp_TXT/2008.0/MLT.txt,1.0000001
2008.0,POL,data/processed/EUPDCorp_TXT/2008.0/POL.txt,1.0
2008.0,CZE,data/processed/EUPDCorp_TXT/2008.0/CZE.txt,1.0000001
2008.0,GBR,data/processed/EUPDCorp_TXT/2008.0/GBR.txt,1.0000001
2008.0,DEU,data/processed/EUPDCorp_TXT/2008.0/DEU.txt,1.0000001
2008.0,PRT,data/processed/EUPDCorp_TXT/2008.0/PRT.txt,0.99999994
2008.0,SVK,data/processed/EUPDCorp_TXT/2008.0/SVK.txt,1.0
2008.0,SVN,data/processed/EUPDCorp_TXT/2008.0/SVN.txt,1.0000001
2008.0,LTU,data/processed/EUPDCorp_TXT/2008.0/LTU.txt,0.99999994
2008.0,NLD,data/processed/EUPDCorp_TXT/2008.0/NLD.txt,0.9999999
2008.0,DNK,data/processed/EUPDCorp_TXT/2008.0/DNK.txt,1.0
2008.0,SWE,data/processed/EUPDCorp_TXT/2008.0/SWE.txt,1.0
2008.0,HUN,data/processed/EUPDCorp_TXT/2008.0/HUN.txt,1.0000001
2008.0,EST,data/processed/EUPDCorp_TXT/2008.0/EST.txt,1.0
2008.0,ESP,data/processed/EUPDCorp_TXT/2008.0/ESP.txt,0.99999994
2008.0,LUX,data/processed/EUPDCorp_TXT/2008.0/LUX.txt,1.0
2008.0,LVA,data/processed/EUPDCorp_TXT/2008.0/LVA.txt,1.0
2008.0,GRC,data/processed/EUPDCorp_TXT/2008.0/GRC.txt,0.99999994
2008.0,IRL,data/processed/EUPDCorp_TXT/2008.0/IRL.txt,0.99999994
2008.0,CYP,data/processed/EUPDCorp_TXT/2008.0/CYP.txt,1.0000001
2008.0,FIN,data/processed/EUPDCorp_TXT/2008.0/FIN.txt,0.9999999
2008.0,ROU,data/processed/EUPDCorp_TXT/2008.0/ROU.txt,1.0
2008.0,BEL,data/processed/EUPDCorp_TXT/2008.0/BEL.txt,0.9999999
2008.0,FRA,data/processed/EUPDCorp_TXT/2008.0/FRA.txt,0.99999994
2008.0,AUT,data/processed/EUPDCorp_TXT/2008.0/AUT.txt,1.0000001
2008.0,BGR,data/processed/EUPDCorp_TXT/2008.0/BGR.txt,1.0
2009.0,ITA,data/processed/EUPDCorp_TXT/2009.0/ITA.txt,1.0
2009.0,MLT,data/processed/EUPDCorp_TXT/2009.0/MLT.txt,0.99999994
2009.0,POL,data/processed/EUPDCorp_TXT/2009.0/POL.txt,1.0
2009.0,CZE,data/processed/EUPDCorp_TXT/2009.0/CZE.txt,1.0
2009.0,GBR,data/processed/EUPDCorp_TXT/2009.0/GBR.txt,1.0
2009.0,DEU,data/processed/EUPDCorp_TXT/2009.0/DEU.txt,0.99999994
2009.0,PRT,data/processed/EUPDCorp_TXT/2009.0/PRT.txt,1.0000001
2009.0,SVK,data/processed/EUPDCorp_TXT/2009.0/SVK.txt,1.0
2009.0,SVN,data/processed/EUPDCorp_TXT/2009.0/SVN.txt,1.0000002
2009.0,LTU,data/processed/EUPDCorp_TXT/2009.0/LTU.txt,0.9999999
2009.0,NLD,data/processed/EUPDCorp_TXT/2009.0/NLD.txt,0.9999999
2009.0,DNK,data/processed/EUPDCorp_TXT/2009.0/DNK.txt,1.0
2009.0,SWE,data/processed/EUPDCorp_TXT/2009.0/SWE.txt,1.0
2009.0,HUN,data/processed/EUPDCorp_TXT/2009.0/HUN.txt,1.0000001
2009.0,EST,data/processed/EUPDCorp_TXT/2009.0/EST.txt,1.0
2009.0,ESP,data/processed/EUPDCorp_TXT/2009.0/ESP.txt,1.0
2009.0,LUX,data/processed/EUPDCorp_TXT/2009.0/LUX.txt,1.0000001
2009.0,LVA,data/processed/EUPDCorp_TXT/2009.0/LVA.txt,1.0
2009.0,GRC,data/processed/EUPDCorp_TXT/2009.0/GRC.txt,0.9999999
2009.0,IRL,data/processed/EUPDCorp_TXT/2009.0/IRL.txt,0.9999999
2009.0,CYP,data/processed/EUPDCorp_TXT/2009.0/CYP.txt,0.99999994
2009.0,FIN,data/processed/EUPDCorp_TXT/2009.0/FIN.txt,0.9999999
2009.0,ROU,data/processed/EUPDCorp_TXT/2009.0/ROU.txt,1.0
2009.0,BEL,data/processed/EUPDCorp_TXT/2009.0/BEL.txt,1.0000001
2009.0,FRA,data/processed/EUPDCorp_TXT/2009.0/FRA.txt,0.9999999
2009.0,AUT,data/processed/EUPDCorp_TXT/2009.0/AUT.txt,0.99999976
2009.0,BGR,data/processed/EUPDCorp_TXT/2009.0/BGR.txt,1.0
2010.0,ITA,data/processed/EUPDCorp_TXT/2010.0/ITA.txt,0.99999994
2010.0,MLT,data/processed/EUPDCorp_TXT/2010.0/MLT.txt,1.0
2010.0,POL,data/processed/EUPDCorp_TXT/2010.0/POL.txt,1.0
2010.0,CZE,data/processed/EUPDCorp_TXT/2010.0/CZE.txt,1.0
2010.0,GBR,data/processed/EUPDCorp_TXT/2010.0/GBR.txt,0.9999998
2010.0,DEU,data/processed/EUPDCorp_TXT/2010.0/DEU.txt,1.0000001
2010.0,PRT,data/processed/EUPDCorp_TXT/2010.0/PRT.txt,0.9999999
2010.0,SVK,data/processed/EUPDCorp_TXT/2010.0/SVK.txt,0.99999994
2010.0,SVN,data/processed/EUPDCorp_TXT/2010.0/SVN.txt,1.0000001
2010.0,LTU,data/processed/EUPDCorp_TXT/2010.0/LTU.txt,0.9999999
2010.0,NLD,data/processed/EUPDCorp_TXT/2010.0/NLD.txt,0.99999994
2010.0,DNK,data/processed/EUPDCorp_TXT/2010.0/DNK.txt,0.9999999
2010.0,SWE,data/processed/EUPDCorp_TXT/2010.0/SWE.txt,1.0
2010.0,HUN,data/processed/EUPDCorp_TXT/2010.0/HUN.txt,1.0
2010.0,EST,data/processed/EUPDCorp_TXT/2010.0/EST.txt,1.0000001
2010.0,ESP,data/processed/EUPDCorp_TXT/2010.0/ESP.txt,1.0
2010.0,LUX,data/processed/EUPDCorp_TXT/2010.0/LUX.txt,1.0000001
2010.0,LVA,data/processed/EUPDCorp_TXT/2010.0/LVA.txt,0.99999994
2010.0,GRC,data/processed/EUPDCorp_TXT/2010.0/GRC.txt,0.9999999
2010.0,IRL,data/processed/EUPDCorp_TXT/2010.0/IRL.txt,1.0
2010.0,CYP,data/processed/EUPDCorp_TXT/2010.0/CYP.txt,1.0
2010.0,FIN,data/processed/EUPDCorp_TXT/2010.0/FIN.txt,1.0
2010.0,ROU,data/processed/EUPDCorp_TXT/2010.0/ROU.txt,0.99999994
2010.0,BEL,data/processed/EUPDCorp_TXT/2010.0/BEL.txt,1.0
2010.0,FRA,data/processed/EUPDCorp_TXT/2010.0/FRA.txt,1.0
2010.0,AUT,data/processed/EUPDCorp_TXT/2010.0/AUT.txt,1.0000001
2010.0,BGR,data/processed/EUPDCorp_TXT/2010.0/BGR.txt,1.0000001
2011.0,ITA,data/processed/EUPDCorp_TXT/2011.0/ITA.txt,1.0
2011.0,MLT,data/processed/EUPDCorp_TXT/2011.0/MLT.txt,1.0
2011.0,POL,data/processed/EUPDCorp_TXT/2011.0/POL.txt,1.0
2011.0,CZE,data/processed/EUPDCorp_TXT/2011.0/CZE.txt,0.99999994
2011.0,GBR,data/processed/EUPDCorp_TXT/2011.0/GBR.txt,0.9999999
2011.0,DEU,data/processed/EUPDCorp_TXT/2011.0/DEU.txt,1.0
2011.0,PRT,data/processed/EUPDCorp_TXT/2011.0/PRT.txt,1.0000001
2011.0,SVK,data/processed/EUPDCorp_TXT/2011.0/SVK.txt,1.0
2011.0,SVN,data/processed/EUPDCorp_TXT/2011.0/SVN.txt,1.0
2011.0,LTU,data/processed/EUPDCorp_TXT/2011.0/LTU.txt,1.0
2011.0,NLD,data/processed/EUPDCorp_TXT/2011.0/NLD.txt,0.9999998
2011.0,DNK,data/processed/EUPDCorp_TXT/2011.0/DNK.txt,1.0000001
2011.0,SWE,data/processed/EUPDCorp_TXT/2011.0/SWE.txt,1.0
2011.0,HUN,data/processed/EUPDCorp_TXT/2011.0/HUN.txt,0.9999999
2011.0,EST,data/processed/EUPDCorp_TXT/2011.0/EST.txt,1.0000001
2011.0,ESP,data/processed/EUPDCorp_TXT/2011.0/ESP.txt,1.0
2011.0,LUX,data/processed/EUPDCorp_TXT/2011.0/LUX.txt,1.0
2011.0,LVA,data/processed/EUPDCorp_TXT/2011.0/LVA.txt,0.99999994
2011.0,GRC,data/processed/EUPDCorp_TXT/2011.0/GRC.txt,1.0
2011.0,IRL,data/processed/EUPDCorp_TXT/2011.0/IRL.txt,1.0
2011.0,CYP,data/processed/EUPDCorp_TXT/2011.0/CYP.txt,0.9999999
2011.0,FIN,data/processed/EUPDCorp_TXT/2011.0/FIN.txt,0.99999994
2011.0,ROU,data/processed/EUPDCorp_TXT/2011.0/ROU.txt,0.99999994
2011.0,BEL,data/processed/EUPDCorp_TXT/2011.0/BEL.txt,0.99999994
2011.0,FRA,data/processed/EUPDCorp_TXT/2011.0/FRA.txt,1.0000001
2011.0,AUT,data/processed/EUPDCorp_TXT/2011.0/AUT.txt,0.99999994
2011.0,BGR,data/processed/EUPDCorp_TXT/2011.0/BGR.txt,0.99999994
2012.0,ITA,data/processed/EUPDCorp_TXT/2012.0/ITA.txt,1.0
2012.0,MLT,data/processed/EUPDCorp_TXT/2012.0/MLT.txt,1.0
2012.0,POL,data/processed/EUPDCorp_TXT/2012.0/POL.txt,0.99999994
2012.0,CZE,data/processed/EUPDCorp_TXT/2012.0/CZE.txt,1.0000001
2012.0,GBR,data/processed/EUPDCorp_TXT/2012.0/GBR.txt,0.99999994
2012.0,DEU,data/processed/EUPDCorp_TXT/2012.0/DEU.txt,1.0
2012.0,PRT,data/processed/EUPDCorp_TXT/2012.0/PRT.txt,0.99999994
2012.0,SVK,data/processed/EUPDCorp_TXT/2012.0/SVK.txt,1.0
2012.0,SVN,data/processed/EUPDCorp_TXT/2012.0/SVN.txt,1.0000001
2012.0,LTU,data/processed/EUPDCorp_TXT/2012.0/LTU.txt,1.0
2012.0,NLD,data/processed/EUPDCorp_TXT/2012.0/NLD.txt,0.99999994
2012.0,DNK,data/processed/EUPDCorp_TXT/2012.0/DNK.txt,1.0
2012.0,SWE,data/processed/EUPDCorp_TXT/2012.0/SWE.txt,0.99999994
2012.0,HUN,data/processed/EUPDCorp_TXT/2012.0/HUN.txt,0.9999999
2012.0,EST,data/processed/EUPDCorp_TXT/2012.0/EST.txt,1.0
2012.0,ESP,data/processed/EUPDCorp_TXT/2012.0/ESP.txt,0.99999994
2012.0,LUX,data/processed/EUPDCorp_TXT/2012.0/LUX.txt,1.0
2012.0,LVA,data/processed/EUPDCorp_TXT/2012.0/LVA.txt,1.0000001
2012.0,GRC,data/processed/EUPDCorp_TXT/2012.0/GRC.txt,1.0
2012.0,IRL,data/processed/EUPDCorp_TXT/2012.0/IRL.txt,0.99999994
2012.0,CYP,data/processed/EUPDCorp_TXT/2012.0/CYP.txt,0.99999994
2012.0,FIN,data/processed/EUPDCorp_TXT/2012.0/FIN.txt,1.0
2012.0,ROU,data/processed/EUPDCorp_TXT/2012.0/ROU.txt,0.99999994
2012.0,BEL,data/processed/EUPDCorp_TXT/2012.0/BEL.txt,0.9999999
2012.0,FRA,data/processed/EUPDCorp_TXT/2012.0/FRA.txt,1.0
2012.0,AUT,data/processed/EUPDCorp_TXT/2012.0/AUT.txt,1.0
2012.0,BGR,data/processed/EUPDCorp_TXT/2012.0/BGR.txt,1.0000001
2013.0,ITA,data/processed/EUPDCorp_TXT/2013.0/ITA.txt,0.99999994
2013.0,HRV,data/processed/EUPDCorp_TXT/2013.0/HRV.txt,1.0
2013.0,MLT,data/processed/EUPDCorp_TXT/2013.0/MLT.txt,0.99999994
2013.0,POL,data/processed/EUPDCorp_TXT/2013.0/POL.txt,0.99999994
2013.0,CZE,data/processed/EUPDCorp_TXT/2013.0/CZE.txt,1.0
2013.0,GBR,data/processed/EUPDCorp_TXT/2013.0/GBR.txt,0.99999994
2013.0,DEU,data/processed/EUPDCorp_TXT/2013.0/DEU.txt,1.0000001
2013.0,PRT,data/processed/EUPDCorp_TXT/2013.0/PRT.txt,1.0
2013.0,SVK,data/processed/EUPDCorp_TXT/2013.0/SVK.txt,0.99999994
2013.0,SVN,data/processed/EUPDCorp_TXT/2013.0/SVN.txt,1.0000001
2013.0,LTU,data/processed/EUPDCorp_TXT/2013.0/LTU.txt,0.99999994
